pair id,benchmark,benchmark id,solver,solver id,configuration,configuration id,status,cpu time,wallclock time,memory usage,result,output-size
381904266,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.55.xml,5166811,AProVE,20177,complexity,302122,complete,1136.88040639,294.840915203,1.524303872E10,"WORST_CASE(Omega(n^2), ?)",25092
381904291,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.55.xml,5166811,tct 2018-07-13,20651,tct_rci,304379,complete,1191.37944513,295.010380983,1.746382848E9,"WORST_CASE(Omega(n^1),?)",3311
381904316,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.52.xml,5166812,AProVE,20177,complexity,302122,complete,14.520419607,4.60765790939,4.10529792E9,"WORST_CASE(Omega(n^1), O(n^1))",8763
381904341,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.52.xml,5166812,tct 2018-07-13,20651,tct_rci,304379,complete,3.261170275,0.720929145813,5.0245632E7,"WORST_CASE(Omega(n^1),O(n^1))",7846
381904366,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.47.xml,5166813,AProVE,20177,complexity,302122,complete,313.778552045,291.493537188,5.42257152E9,"WORST_CASE(Omega(n^1), O(n^2))",8325
381904389,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.47.xml,5166813,tct 2018-07-13,20651,tct_rci,304379,complete,4.392134887,1.06116700172,6.7428352E7,"WORST_CASE(Omega(n^1),O(n^2))",2523
381904412,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.10.xml,5166814,AProVE,20177,complexity,302122,complete,1142.26524995,294.063980818,1.3005160448E10,"WORST_CASE(Omega(n^1), O(n^4)),66538
381904434,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.10.xml,5166814,tct 2018-07-13,20651,tct_rci,304379,timeout (wallclock)",1196.79718986,294.777586937,4.92607488E9,"WORST_CASE(Omega(n^1),?)",3537
381904456,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.6b.xml,5166815,AProVE,20177,complexity,302122,complete,323.816923628,291.486612797,5.324136448E9,"WORST_CASE(Omega(n^1), O(n^3))",39103
381904475,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.6b.xml,5166815,tct 2018-07-13,20651,tct_rci,304379,run script error,0.0,0.0,0.0,--,-
381904493,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.53b.xml,5166816,AProVE,20177,complexity,302122,complete,17.508482229,6.07220506668,4.207337472E9,"WORST_CASE(Omega(n^1), O(n^1))",13120
381904511,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.53b.xml,5166816,tct 2018-07-13,20651,tct_rci,304379,complete,2.541326119,0.608240842819,3.8559744E7,"WORST_CASE(Omega(n^1),O(n^1))",9624
381904529,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.12.xml,5166817,AProVE,20177,complexity,302122,complete,12.561926988,3.84854388237,1.719443456E9,"WORST_CASE(Omega(n^3), O(n^3))",19561
381904546,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.12.xml,5166817,tct 2018-07-13,20651,tct_rci,304379,complete,23.071149072,4.50818920135,1.2130304E8,"WORST_CASE(Omega(n^1),O(n^3))",27458
381904563,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.23.xml,5166818,AProVE,20177,complexity,302122,complete,12.404923601,4.08808112144,3.611119616E9,"WORST_CASE(Omega(n^1), O(n^1))",5427
381904580,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.23.xml,5166818,tct 2018-07-13,20651,tct_rci,304379,complete,0.627968842,0.173871994019,2.572288E7,"WORST_CASE(Omega(n^1),O(n^1))",2276
381904597,S-Runtime Complexity   Innermost Rewriting-2018-07-13 21:36:48.051975 UTC/Runtime_Complexity_Innermost_Rewriting/AG01/#3.15.xml,5166819,AProVE,20177,complexity,302122,complete,16.43035073,10.3119668961,1.831817216E9,"WORST_CASE(Omega(n^1), O(n^1))",11524
